,id,title,date,address,thumbnail,division,division_url,latitude,longitude,SHAPE
718,http://www.loc.gov/item/75696517/, Bird's eye view of Philadelphia.,1857,"Philadelphia, Pennsylvania",https://tile.loc.gov/storage-services/service/gmd/gmd382/g3824/g3824p/pm008270.gif,Geography and Map Division,https://www.loc.gov/rr/geogmap/,39.95222000000007,-75.16217999999998,"{'spatialReference': {'wkid': 4326}, 'x': -75.16217999999998, 'y': 39.95222000000007}"
1495,http://www.loc.gov/item/93504429/,"Staunton, Va.",1857,"Staunton, Virginia",https://tile.loc.gov/storage-services/service/gmd/gmd388/g3884/g3884s/pm009621.gif,Prints and Photographs,https://www.loc.gov/rr/print/,38.150010000000066,-79.07271999999995,"{'spatialReference': {'wkid': 4326}, 'x': -79.07271999999995, 'y': 38.150010000000066}"
1499,http://www.loc.gov/item/98509689/,"Panoramic view of Washington City from the new dome of the Capitol, looking east",1857,"Washington, District of Columbia",https://tile.loc.gov/storage-services/service/gmd/gmd385/g3851/g3851a/pm104798.gif,Prints and Photographs,https://www.loc.gov/rr/print/,38.890370000000075,-77.03195999999997,"{'spatialReference': {'wkid': 4326}, 'x': -77.03195999999997, 'y': 38.890370000000075}"
1486,http://www.loc.gov/item/95505784/,"Waukesha, Wis.",1857,"Waukesha, Wisconsin",https://tile.loc.gov/storage-services/service/gmd/gmd412/g4124/g4124w/pm010631.gif,Prints and Photographs,https://www.loc.gov/rr/print/,43.01498000000004,-88.23541999999998,"{'spatialReference': {'wkid': 4326}, 'x': -88.23541999999998, 'y': 43.01498000000004}"
1473,http://www.loc.gov/item/98508477/,"Hamilton, C.W.",1859,"Hamilton, Ontario",https://tile.loc.gov/storage-services/service/gmd/gmd3/g3464/g3464h/pm010712.gif,Prints and Photographs,https://www.loc.gov/rr/print/,43.255490000000066,-79.87337599999995,"{'spatialReference': {'wkid': 4326}, 'x': -79.87337599999995, 'y': 43.255490000000066}"
1457,http://www.loc.gov/item/87691086/,"Liverpool, 1859, part of Birkenhead, the docks, and Cheshire coast",1859,"Liverpool, Merseyside, England",https://tile.loc.gov/storage-services/service/gmd/gmd5/g5754/g5754l/ct007678.gif,Geography and Map Division,https://www.loc.gov/rr/geogmap/,53.40936679100008,-2.978494816999955,"{'spatialReference': {'wkid': 4326}, 'x': -2.978494816999955, 'y': 53.40936679100008}"
1472,http://www.loc.gov/item/98508509/,"Ludlow, Vt. 1859 From south hill",1859,"Ludlow, Town of, Vermont",https://tile.loc.gov/storage-services/service/gmd/gmd375/g3754/g3754l/pm009381.gif,Prints and Photographs,https://www.loc.gov/rr/print/,43.38820000000004,-72.66683999999998,"{'spatialReference': {'wkid': 4326}, 'x': -72.66683999999998, 'y': 43.38820000000004}"
1480,http://www.loc.gov/item/94513619/,"Our city, (St. Louis, Mo.)",1859,"St Louis, Missouri",https://tile.loc.gov/storage-services/service/gmd/gmd416/g4164/g4164s/pm004381.gif,Prints and Photographs,https://www.loc.gov/rr/print/,38.62775000000005,-90.19955999999996,"{'spatialReference': {'wkid': 4326}, 'x': -90.19955999999996, 'y': 38.62775000000005}"
1485,http://www.loc.gov/item/98508514/,"Oshkosh, Wis. From H.L. Cottrill's Block",185?,"Oshkosh, Wisconsin",https://tile.loc.gov/storage-services/service/gmd/gmd412/g4124/g4124o/pm010482.gif,Prints and Photographs,https://www.loc.gov/rr/print/,44.024910000000034,-88.54442999999998,"{'spatialReference': {'wkid': 4326}, 'x': -88.54442999999998, 'y': 44.024910000000034}"
1055,http://www.loc.gov/item/75693205/, [Chicago.,1860,"Chicago, Illinois",https://tile.loc.gov/storage-services/service/gmd/gmd410/g4104/g4104c/pm001470.gif,Geography and Map Division,https://www.loc.gov/rr/geogmap/,41.884250000000065,-87.63244999999995,"{'spatialReference': {'wkid': 4326}, 'x': -87.63244999999995, 'y': 41.884250000000065}"
991,http://www.loc.gov/item/73694505/,"Bird's eye view of Camp Chase near Columbus, Ohio.",1860,"Columbus, Ohio",https://tile.loc.gov/storage-services/service/gmd/gmd408/g4084/g4084c/pm006831.gif,Geography and Map Division,https://www.loc.gov/rr/geogmap/,39.96199000000007,-83.00274999999993,"{'spatialReference': {'wkid': 4326}, 'x': -83.00274999999993, 'y': 39.96199000000007}"
260,http://www.loc.gov/item/2003620502/,"Newport, R.I. : view from Fort Wolcott, Goat Island",1860,"Newport, Rhode Island",https://tile.loc.gov/storage-services/service/gmd/gmd377/g3774/g3774n/pm010940.gif,Geography and Map Division,https://www.loc.gov/rr/geogmap/,41.492560000000026,-71.31088999999997,"{'spatialReference': {'wkid': 4326}, 'x': -71.31088999999997, 'y': 41.492560000000026}"
1470,http://www.loc.gov/item/96505328/, Vue de San-Francisco Vista de San-Francisco,1860,"San Francisco, California",https://tile.loc.gov/storage-services/service/gmd/gmd436/g4364/g4364s/pm000331.gif,Prints and Photographs,https://www.loc.gov/rr/print/,37.777120000000025,-122.41966999999994,"{'spatialReference': {'wkid': 4326}, 'x': -122.41966999999994, 'y': 37.777120000000025}"
18,http://www.loc.gov/item/75696731/,"View of Victoria, Vancouver Island.",1860,"Victoria, British Columbia",https://tile.loc.gov/storage-services/service/gmd/gmd3/g3514/g3514v/pm010750.gif,Geography and Map Division,https://www.loc.gov/rr/geogmap/,48.428409000000045,-123.36564199999998,"{'spatialReference': {'wkid': 4326}, 'x': -123.36564199999998, 'y': 48.428409000000045}"
1497,http://www.loc.gov/item/98515962/, Birds eye view of the city of Washington from the dome of the U.S. Capitol Looking west,1860,"Washington, District of Columbia",https://tile.loc.gov/storage-services/service/gmd/gmd385/g3851/g3851a/pm001072.gif,Prints and Photographs,https://www.loc.gov/rr/print/,38.890370000000075,-77.03195999999997,"{'spatialReference': {'wkid': 4326}, 'x': -77.03195999999997, 'y': 38.890370000000075}"
823,http://www.loc.gov/item/84692454/,"Fortress Monroe, Old Point Comfort, and Hygeia Hotel, Va.",1861,"Hampton, Virginia",https://tile.loc.gov/storage-services/service/gmd/gmd388/g3884/g3884h/cw0547100.gif,Geography and Map Division,https://www.loc.gov/rr/geogmap/,37.02780000000007,-76.34500999999995,"{'spatialReference': {'wkid': 4326}, 'x': -76.34500999999995, 'y': 37.02780000000007}"
854,http://www.loc.gov/item/75696688/, Parkersburg.,1861,"Parkersburg, West Virginia",https://tile.loc.gov/storage-services/service/gmd/gmd389/g3894/g3894p/pm010040.gif,Geography and Map Division,https://www.loc.gov/rr/geogmap/,39.263720000000035,-81.55856999999997,"{'spatialReference': {'wkid': 4326}, 'x': -81.55856999999997, 'y': 39.263720000000035}"
855,http://www.loc.gov/item/75696693/,"Town of Phillippi, Barbour County, West Virginia. 1861.",1861,"Philippi, West Virginia",https://tile.loc.gov/storage-services/service/gmd/gmd389/g3894/g3894p/pm010080.gif,Geography and Map Division,https://www.loc.gov/rr/geogmap/,39.15318000000008,-80.04123999999996,"{'spatialReference': {'wkid': 4326}, 'x': -80.04123999999996, 'y': 39.15318000000008}"
1484,http://www.loc.gov/item/96511984/,"Virginia City, Nevada Territory, 1861",1861,"Virginia City, Nevada",https://tile.loc.gov/storage-services/service/gmd/gmd435/g4354/g4354v/pm004683.gif,Prints and Photographs,https://www.loc.gov/rr/print/,39.311480000000074,-119.64929999999998,"{'spatialReference': {'wkid': 4326}, 'x': -119.64929999999998, 'y': 39.311480000000074}"
1500,http://www.loc.gov/item/96512992/,"View of Baltimore City, Md., from the North",1862,"Baltimore, Maryland",https://tile.loc.gov/storage-services/service/gmd/gmd384/g3844/g3844b/pm002532.gif,Prints and Photographs,https://www.loc.gov/rr/print/,39.290580000000034,-76.60925999999995,"{'spatialReference': {'wkid': 4326}, 'x': -76.60925999999995, 'y': 39.290580000000034}"
1475,http://www.loc.gov/item/96505333/,"San Francisco, 1862, from Russian Hill",1862,"San Francisco, California",https://tile.loc.gov/storage-services/service/gmd/gmd436/g4364/g4364s/pm000342.gif,Prints and Photographs,https://www.loc.gov/rr/print/,37.777120000000025,-122.41966999999994,"{'spatialReference': {'wkid': 4326}, 'x': -122.41966999999994, 'y': 37.777120000000025}"
814,http://www.loc.gov/item/81694373/,"Birds eye view of Alexandria, Va.",1863,"Alexandria, Virginia",https://tile.loc.gov/storage-services/service/gmd/gmd388/g3884/g3884a/pm009504.gif,Geography and Map Division,https://www.loc.gov/rr/geogmap/,38.80460000000005,-77.04340999999994,"{'spatialReference': {'wkid': 4326}, 'x': -77.04340999999994, 'y': 38.80460000000005}"
822,http://www.loc.gov/item/75696745/,"View of Fredericksburg, Va. Nov. 1862.",1863,"Fredericksburg, Virginia",https://tile.loc.gov/storage-services/service/gmd/gmd388/g3884/g3884f/pm009560.gif,Geography and Map Division,https://www.loc.gov/rr/geogmap/,38.301180000000045,-77.45932999999997,"{'spatialReference': {'wkid': 4326}, 'x': -77.45932999999997, 'y': 38.301180000000045}"
942,http://www.loc.gov/item/75693238/,"New Orleans, La. and its vicinity.",1863,"New Orleans, Louisiana",https://tile.loc.gov/storage-services/service/gmd/gmd401/g4014/g4014n/pm002410.gif,Geography and Map Division,https://www.loc.gov/rr/geogmap/,29.953700000000026,-90.07774999999998,"{'spatialReference': {'wkid': 4326}, 'x': -90.07774999999998, 'y': 29.953700000000026}"
829,http://www.loc.gov/item/74693212/,"Richmond, Va. and its vicinity.",1863,"Richmond, Virginia",https://tile.loc.gov/storage-services/service/gmd/gmd388/g3884/g3884r/pm009611.gif,Geography and Map Division,https://www.loc.gov/rr/geogmap/,37.540680000000066,-77.43366999999995,"{'spatialReference': {'wkid': 4326}, 'x': -77.43366999999995, 'y': 37.540680000000066}"
936,http://www.loc.gov/item/99447435/,"View of Vicksburg and plan of the canal, fortifications & vicinity",1863,"Vicksburg, Mississippi",https://tile.loc.gov/storage-services/service/gmd/gmd398/g3984/g3984v/cw0294000.gif,Geography and Map Division,https://www.loc.gov/rr/geogmap/,32.350040000000035,-90.88154999999995,"{'spatialReference': {'wkid': 4326}, 'x': -90.88154999999995, 'y': 32.350040000000035}"
1474,http://www.loc.gov/item/93500718/, San Francisco. Bird's-eye view,1864,"San Francisco, California",https://tile.loc.gov/storage-services/service/gmd/gmd436/g4364/g4364s/pm000343.gif,Prints and Photographs,https://www.loc.gov/rr/print/,37.777120000000025,-122.41966999999994,"{'spatialReference': {'wkid': 4326}, 'x': -122.41966999999994, 'y': 37.777120000000025}"
541,http://www.loc.gov/item/75694721/,"Birds eye view of Egg Harbor City, N.J.",1865,"Egg Harbor City, New Jersey",https://tile.loc.gov/storage-services/service/gmd/gmd381/g3814/g3814e/pm005120.gif,Geography and Map Division,https://www.loc.gov/rr/geogmap/,39.53116000000006,-74.64482999999996,"{'spatialReference': {'wkid': 4326}, 'x': -74.64482999999996, 'y': 39.53116000000006}"
1390,http://www.loc.gov/item/75693134/,"[Fort Collins, Colorado.",1865,"Fort Collins, Colorado",https://tile.loc.gov/storage-services/service/gmd/gmd431/g4314/g4314f/pm000661.gif,Geography and Map Division,https://www.loc.gov/rr/geogmap/,40.581470000000024,-105.07661999999999,"{'spatialReference': {'wkid': 4326}, 'x': -105.07661999999999, 'y': 40.581470000000024}"
436,http://www.loc.gov/item/75693052/, Bird's eye view of New York and environs.,1865,New York,https://tile.loc.gov/storage-services/service/gmd/gmd380/g3804/g3804n/pm005946.gif,Geography and Map Division,https://www.loc.gov/rr/geogmap/,40.71455000000003,-74.00713999999994,"{'spatialReference': {'wkid': 4326}, 'x': -74.00713999999994, 'y': 40.71455000000003}"
1106,http://www.loc.gov/item/73693418/,"Adrian, Michigan 1866.",1866,"Adrian, Michigan",https://tile.loc.gov/storage-services/service/gmd/gmd411/g4114/g4114a/pm003320.gif,Geography and Map Division,https://www.loc.gov/rr/geogmap/,41.89745000000005,-84.03707999999995,"{'spatialReference': {'wkid': 4326}, 'x': -84.03707999999995, 'y': 41.89745000000005}"
1122,http://www.loc.gov/item/73693429/,"Birds eye view of the city of Hillsdale, Hillsdale Co., Mich. 1866.",1866,"Hillsdale, Michigan",https://tile.loc.gov/storage-services/service/gmd/gmd411/g4114/g4114h/pm003510.gif,Geography and Map Division,https://www.loc.gov/rr/geogmap/,41.92291000000006,-84.63183999999995,"{'spatialReference': {'wkid': 4326}, 'x': -84.63183999999995, 'y': 41.92291000000006}"
1131,http://www.loc.gov/item/73693436/,"Birds eye view of the city of Lansing, Michigan 1866.",1866,"Lansing, Michigan",https://tile.loc.gov/storage-services/service/gmd/gmd411/g4114/g4114l/pm003590.gif,Geography and Map Division,https://www.loc.gov/rr/geogmap/,42.731940000000066,-84.55224999999996,"{'spatialReference': {'wkid': 4326}, 'x': -84.55224999999996, 'y': 42.731940000000066}"
1134,http://www.loc.gov/item/73693438/,"Monroe, Monroe Co., Michigan 1866.",1866,"Monroe, Michigan",https://tile.loc.gov/storage-services/service/gmd/gmd411/g4114/g4114m/pm003620.gif,Geography and Map Division,https://www.loc.gov/rr/geogmap/,41.91606000000007,-83.39789999999994,"{'spatialReference': {'wkid': 4326}, 'x': -83.39789999999994, 'y': 41.91606000000007}"
1036,http://www.loc.gov/item/73693388/,"South Bend, Indiana 1866.",1866,"South Bend, Indiana",https://tile.loc.gov/storage-services/service/gmd/gmd409/g4094/g4094s/pm002020.gif,Geography and Map Division,https://www.loc.gov/rr/geogmap/,41.679070000000024,-86.25404999999995,"{'spatialReference': {'wkid': 4326}, 'x': -86.25404999999995, 'y': 41.679070000000024}"
1042,http://www.loc.gov/item/73693340/,"Alton, Madison Co., Illinois 1867.",1867,"Alton, Illinois",https://tile.loc.gov/storage-services/service/gmd/gmd410/g4104/g4104a/pm001350.gif,Geography and Map Division,https://www.loc.gov/rr/geogmap/,38.89086000000003,-90.18394999999998,"{'spatialReference': {'wkid': 4326}, 'x': -90.18394999999998, 'y': 38.89086000000003}"
1152,http://www.loc.gov/item/73694533/,"Appleton, Outagamie County, Wisconsin 1867.",1867,"Appleton, Wisconsin",https://tile.loc.gov/storage-services/service/gmd/gmd412/g4124/g4124a/pm010180.gif,Geography and Map Division,https://www.loc.gov/rr/geogmap/,44.261780000000044,-88.41713999999996,"{'spatialReference': {'wkid': 4326}, 'x': -88.41713999999996, 'y': 44.261780000000044}"
1043,http://www.loc.gov/item/73693341/,"Aurora, Illinois 1867.",1867,"Aurora, Illinois",https://tile.loc.gov/storage-services/service/gmd/gmd410/g4104/g4104a/pm001360.gif,Geography and Map Division,https://www.loc.gov/rr/geogmap/,41.75710000000004,-88.31612999999999,"{'spatialReference': {'wkid': 4326}, 'x': -88.31612999999999, 'y': 41.75710000000004}"
1112,http://www.loc.gov/item/73693424/,"Bird's eye view of Bay City, Portsmouth, Wenona & Salzburg, Bay Co., Michigan 1867.",1867,"Bay City, Michigan",https://tile.loc.gov/storage-services/service/gmd/gmd411/g4114/g4114b/pm003380.gif,Geography and Map Division,https://www.loc.gov/rr/geogmap/,43.59527000000003,-83.88490999999993,"{'spatialReference': {'wkid': 4326}, 'x': -83.88490999999993, 'y': 43.59527000000003}"
1156,http://www.loc.gov/item/73694535/,"Bird's eye view of the city of Beaver Dam, Dodge Co., Wisconsin 1867.",1867,"Beaver Dam, Wisconsin",https://tile.loc.gov/storage-services/service/gmd/gmd412/g4124/g4124b/pm010220.gif,Geography and Map Division,https://www.loc.gov/rr/geogmap/,43.45633000000004,-88.83017999999998,"{'spatialReference': {'wkid': 4326}, 'x': -88.83017999999998, 'y': 43.45633000000004}"
