id,name,city,country,faa,icao,alt,tz-offset,dst,tz,longitude,latitude
"3072",Shah Mokhdum Airport,Rajshahi,Bangladesh,RJH,VGRJ,"64","6",U,Asia/Dhaka,88.616501,24.437201
"3073",Saidpur Airport,Saidpur,Bangladesh,SPD,VGSD,"125","6",U,Asia/Dhaka,88.908897,25.759199
"3074",Osmany International Airport,Sylhet Osmani,Bangladesh,ZYL,VGSY,"50","6",U,Asia/Dhaka,91.866798,24.9632
"3075",Tejgaon Airport,Dhaka,Bangladesh,\N,VGTJ,"24","6",U,Asia/Dhaka,90.382698,23.778799
"3076",Hazrat Shahjalal International Airport,Dhaka,Bangladesh,DAC,VGZR,"30","6",U,Asia/Dhaka,90.397783,23.843347
"3077",Hong Kong International Airport,Hong Kong,Hong Kong,HKG,VHHH,"28","8",U,Asia/Hong_Kong,113.915001,22.308901
"3078",Shek Kong Air Base,Sek Kong,Hong Kong,\N,VHSK,"50","8",U,Asia/Hong_Kong,114.080002,22.4366
"3079",Agra Airport,Agra,India,AGR,VIAG,"551","5.5",N,Asia/Calcutta,77.960899,27.1558
"3080",Allahabad Airport,Allahabad,India,IXD,VIAL,"322","5.5",N,Asia/Calcutta,81.733902,25.4401
"3081",Sri Guru Ram Dass Jee International Airport,Amritsar,India,ATQ,VIAR,"756","5.5",N,Asia/Calcutta,74.797302,31.7096
"3082",Nal Airport,Bikaner,India,BKB,VIBK,"750","5.5",N,Asia/Calcutta,73.207199,28.070601
"3083",Bakshi Ka Talab Air Force Station,Bakshi Ka Talab,India,\N,VIBL,"385","5.5",N,Asia/Calcutta,80.893097,26.9883
"3084",Lal Bahadur Shastri Airport,Varanasi,India,VNS,VIBN,"266","5.5",N,Asia/Calcutta,82.859299,25.4524
"3085",Kullu Manali Airport,Kulu,India,KUU,VIBR,"3573","5.5",N,Asia/Calcutta,77.154404,31.876699
"3086",Bhatinda Air Force Station,Bhatinda,India,BUP,VIBT,"662","5.5",N,Asia/Calcutta,74.755798,30.2701
"3087",Bhiwani Airport,Bhiwani,India,\N,VIBW,"720","5.5",N,Asia/Calcutta,76.1791,28.837
"3088",Bareilly Air Force Station,Bareilly,India,BEK,VIBY,"580","5.5",N,Asia/Calcutta,79.450798,28.4221
"3089",Chandigarh Airport,Chandigarh,India,IXC,VICG,"1012","5.5",N,Asia/Calcutta,76.788498,30.6735
"3090",Kanpur Airport,Kanpur,India,KNU,VICX,"410","5.5",N,Asia/Calcutta,80.410103,26.404301
"3091",Safdarjung Airport,Delhi,India,\N,VIDD,"705","5.5",N,Asia/Calcutta,77.205803,28.584499
"3092",Dehradun Airport,Dehra Dun,India,DED,VIDN,"1831","5.5",N,Asia/Calcutta,78.180298,30.189699
"3093",Indira Gandhi International Airport,Delhi,India,DEL,VIDP,"777","5.5",N,Asia/Calcutta,77.103104,28.5665
"3094",Gwalior Airport,Gwalior,India,GWL,VIGR,"617","5.5",N,Asia/Calcutta,78.227798,26.293301
"3095",Hissar Airport,Hissar,India,HSS,VIHR,"700","5.5",N,Asia/Calcutta,75.755302,29.179399
"3096",Jhansi Airport,Jhansi,India,\N,VIJN,"801","5.5",N,Asia/Calcutta,78.558403,25.491199
"3097",Jodhpur Airport,Jodhpur,India,JDH,VIJO,"717","5.5",N,Asia/Calcutta,73.048897,26.251101
"3098",Jaipur International Airport,Jaipur,India,JAI,VIJP,"1263","5.5",N,Asia/Calcutta,75.812202,26.8242
"3099",Jaisalmer Airport,Jaisalmer,India,JSA,VIJR,"751","5.5",N,Asia/Calcutta,70.864998,26.8887
"3100",Jammu Airport,Jammu,India,IXJ,VIJU,"1029","5.5",N,Asia/Calcutta,74.837402,32.689098
"3101",Kanpur Civil Airport,Kanpur,India,\N,VIKA,"411","5.5",N,Asia/Calcutta,80.364899,26.441401
"3102",Kota Airport,Kota,India,KTU,VIKO,"896","5.5",N,Asia/Calcutta,75.845596,25.1602
"3103",Ludhiana Airport,Ludhiaha,India,LUH,VILD,"834","5.5",N,Asia/Calcutta,75.952599,30.8547
"3104",Leh Kushok Bakula Rimpochee Airport,Leh,India,IXL,VILH,"10682","5.5",N,Asia/Calcutta,77.546501,34.135899
"3105",Chaudhary Charan Singh International Airport,Lucknow,India,LKO,VILK,"410","5.5",N,Asia/Calcutta,80.889297,26.760599
"3106",Pathankot Airport,Pathankot,India,IXP,VIPK,"1017","5.5",N,Asia/Calcutta,75.634444,32.233611
"3107",Patiala Airport,Patiala,India,\N,VIPL,"820","5.5",N,Asia/Calcutta,76.364502,30.3148
"3108",Pantnagar Airport,Nainital,India,PGH,VIPT,"769","5.5",N,Asia/Calcutta,79.473701,29.0334
"3109",Fursatganj Airport,Raibarelli,India,\N,VIRB,"360","5.5",N,Asia/Calcutta,81.380501,26.248501
"3111",Sarsawa Air Force Station,Saharanpur,India,\N,VISP,"891","5.5",N,Asia/Calcutta,77.425301,29.9939
"3112",Sheikh ul Alam Airport,Srinagar,India,SXR,VISR,"5429","5.5",N,Asia/Calcutta,74.7742,33.987099
"3113",Satna Airport,Satna,India,TNI,VIST,"1060","5.5",N,Asia/Calcutta,80.854897,24.5623
"3115",Luang Phabang International Airport,Luang Prabang,Laos,LPQ,VLLB,"955","7",U,Asia/Vientiane,102.161003,19.897301
"3116",Pakse International Airport,Pakse,Laos,PKZ,VLPS,"351","7",U,Asia/Vientiane,105.780998,15.1321
"3117",Phonesavanh Airport,Phong Savanh,Laos,\N,VLPV,"3628","7",U,Asia/Vientiane,103.218002,19.454901
"3118",Savannakhet Airport,Savannakhet,Laos,ZVK,VLSK,"509","7",U,Asia/Vientiane,104.760002,16.556601
"3119",Sam Neua Airport,Sam Neua,Laos,NEU,VLSN,"3281","7",U,Asia/Vientiane,104.067001,20.4184
"3120",Wattay International Airport,Vientiane,Laos,VTE,VLVT,"564","7",U,Asia/Vientiane,102.563004,17.9883
"3121",Macau International Airport,Macau,Macau,MFM,VMMC,"20","8",U,Asia/Macau,113.592003,22.149599
"3122",Gautam Buddha Airport,Bhairawa,Nepal,BWA,VNBW,"358","5.75",N,Asia/Katmandu,83.416293,27.505685
"3124",Janakpur Airport,Janakpur,Nepal,JKR,VNJP,"256","5.75",N,Asia/Katmandu,85.922401,26.708799
"3125",Tribhuvan International Airport,Kathmandu,Nepal,KTM,VNKT,"4390","5.75",N,Asia/Katmandu,85.3591,27.6966
"3127",Pokhara Airport,Pokhara,Nepal,PKR,VNPK,"2712","5.75",N,Asia/Katmandu,83.982101,28.200899
"3128",Simara Airport,Simara,Nepal,SIF,VNSI,"450","5.75",N,Asia/Katmandu,84.980103,27.1595
"3129",Biratnagar Airport,Biratnagar,Nepal,BIR,VNVT,"236","5.75",N,Asia/Katmandu,87.264,26.481501
"3130",Agatti Airport,Agatti Island,India,AGX,VOAT,"14","5.5",N,Asia/Calcutta,72.176003,10.8237
"3131",Kempegowda International Airport,Bangalore,India,BLR,VOBL,"3000","5.5",N,Asia/Calcutta,77.706299,13.1979
"3132",Bellary Airport,Bellary,India,BEP,VOBI,"30","5.5",N,Asia/Calcutta,76.882797,15.1628
"3133",Bidar Air Force Station,Bidar,India,\N,VOBR,"2178","5.5",N,Asia/Calcutta,77.487099,17.9081
"3134",Vijayawada Airport,Vijayawada,India,VGA,VOBZ,"82","5.5",N,Asia/Calcutta,80.796799,16.530399
"3135",Coimbatore International Airport,Coimbatore,India,CJB,VOCB,"1324","5.5",N,Asia/Calcutta,77.043404,11.03
"3136",Cochin International Airport,Kochi,India,COK,VOCI,"30","5.5",N,Asia/Calcutta,76.401901,10.152
"3137",Calicut International Airport,Calicut,India,CCJ,VOCL,"342","5.5",N,Asia/Calcutta,75.955299,11.1368
"3138",Kadapa Airport,Cuddapah,India,CDP,VOCP,"430","5.5",N,Asia/Calcutta,78.772778,14.51
"3139",Car Nicobar Air Force Station,Carnicobar,India,CBD,VOCX,"5","5.5",N,Asia/Calcutta,92.819603,9.15251
"3140",Dundigul Air Force Academy,Dundigul,India,\N,VODG,"2013","5.5",N,Asia/Calcutta,78.403397,17.627199
"3141",Begumpet Airport,Hyderabad,India,BPM,VOHY,"1742","5.5",N,Asia/Calcutta,78.467598,17.4531
"3142",Madurai Airport,Madurai,India,IXM,VOMD,"459","5.5",N,Asia/Calcutta,78.093399,9.83451
"3143",Mangalore International Airport,Mangalore,India,IXE,VOML,"337","5.5",N,Asia/Calcutta,74.890099,12.9613
"3144",Chennai International Airport,Madras,India,MAA,VOMM,"52","5.5",N,Asia/Calcutta,80.169296,12.990005
"3145",Nagarjuna Sagar Airport,Nagarjunsagar,India,\N,VONS,"658","5.5",N,Asia/Calcutta,79.318703,16.5427
"3146",Vir Savarkar International Airport,Port Blair,India,IXZ,VOPB,"14","5.5",N,Asia/Calcutta,92.729698,11.6412
"3147",Pondicherry Airport,Pendicherry,India,PNY,VOPC,"134","5.5",N,Asia/Calcutta,79.812,11.968
"3148",Rajahmundry Airport,Rajahmundry,India,RJA,VORY,"151","5.5",N,Asia/Calcutta,81.818199,17.110399
"3149",Salem Airport,Salem,India,SXV,VOSM,"1008","5.5",N,Asia/Calcutta,78.065598,11.7833
"3150",Tanjore Air Force Base,Tanjore,India,TJV,VOTJ,"253","5.5",N,Asia/Calcutta,79.101601,10.7224
"3151",Tirupati Airport,Tirupeti,India,TIR,VOTP,"350","5.5",N,Asia/Calcutta,79.543297,13.6325
"3152",Tiruchirapally Civil Airport Airport,Tiruchirappalli,India,TRZ,VOTR,"288","5.5",N,Asia/Calcutta,78.709702,10.7654
"3153",Trivandrum International Airport,Trivandrum,India,TRV,VOTV,"15","5.5",N,Asia/Calcutta,76.920097,8.48212
"3154",Tambaram Air Force Station,Tambaram,India,\N,VOTX,"90","5.5",N,Asia/Calcutta,80.121902,12.9072
"3155",Paro Airport,Thimphu,Bhutan,PBH,VQPR,"7332","6",N,Asia/Thimphu,89.424599,27.4032
"3156",Malé International Airport,Male,Maldives,MLE,VRMM,"6","5",U,Indian/Maldives,73.529099,4.19183
"3157",Don Mueang International Airport,Bangkok,Thailand,DMK,VTBD,"9","7",U,Asia/Bangkok,100.607002,13.9126
"3158",Kamphaeng Saen Airport,Nakhon Pathom,Thailand,KDT,VTBK,"30","7",U,Asia/Bangkok,99.917198,14.102
"3159",Khok Kathiam Airport,Lop Buri,Thailand,\N,VTBL,"123","7",U,Asia/Bangkok,100.663002,14.8746
"3161",U-Tapao International Airport,Pattaya,Thailand,UTP,VTBU,"42","7",U,Asia/Bangkok,101.004997,12.6799
"3162",Watthana Nakhon Airport,Prachin Buri,Thailand,\N,VTBW,"200","7",U,Asia/Bangkok,102.315002,13.7688
"3163",Lampang Airport,Lampang,Thailand,LPT,VTCL,"811","7",U,Asia/Bangkok,99.504204,18.270901
"3164",Phrae Airport,Phrae,Thailand,PRH,VTCP,"538","7",U,Asia/Bangkok,100.165001,18.1322
"3165",Hua Hin Airport,Prachuap Khiri Khan,Thailand,HHQ,VTPH,"62","7",U,Asia/Bangkok,99.9515,12.6362
"3166",Takhli Airport,Nakhon Sawan,Thailand,TKH,VTPI,"107","7",U,Asia/Bangkok,100.295998,15.2773
"3167",Sak Long Airport,Phetchabun,Thailand,\N,VTPL,"500","7",U,Asia/Bangkok,101.250999,16.824301
"3169",Nakhon Sawan Airport,Nakhon Sawan,Thailand,\N,VTPN,"113","7",U,Asia/Bangkok,100.137001,15.673
"3170",Phitsanulok Airport,Phitsanulok,Thailand,PHS,VTPP,"154","7",U,Asia/Bangkok,100.278999,16.7829
"3171",Khunan Phumipol Airport,Tak,Thailand,\N,VTPY,"492","7",U,Asia/Bangkok,99.057899,17.2342
"3172",Khoun Khan Airport,Satun,Thailand,\N,VTSA,"18","7",U,Asia/Bangkok,100.080002,6.6614
"3173",Narathiwat Airport,Narathiwat,Thailand,NAW,VTSC,"16","7",U,Asia/Bangkok,101.742996,6.51992
"3174",Krabi Airport,Krabi,Thailand,KBV,VTSG,"82","7",U,Asia/Bangkok,98.986198,8.09912
"3175",Songkhla Airport,Songkhla,Thailand,SGZ,VTSH,"12","7",U,Asia/Bangkok,100.608002,7.18656
"3176",Pattani Airport,Pattani,Thailand,PAN,VTSK,"8","7",U,Asia/Bangkok,101.153999,6.78546
"3177",Samui Airport,Ko Samui,Thailand,USM,VTSM,"64","7",U,Asia/Bangkok,100.061996,9.54779
"3178",Cha Eian Airport,Nakhon Si Thammarat,Thailand,\N,VTSN,"44","7",U,Asia/Bangkok,99.955597,8.47115
"3179",Phuket International Airport,Phuket,Thailand,HKT,VTSP,"82","7",U,Asia/Bangkok,98.316902,8.1132
"3180",Ranong Airport,Ranong,Thailand,UNN,VTSR,"57","7",U,Asia/Bangkok,98.585503,9.77762
"3181",Hat Yai International Airport,Hat Yai,Thailand,HDY,VTSS,"90","7",U,Asia/Bangkok,100.392998,6.93321
"3182",Trang Airport,Trang,Thailand,TST,VTST,"67","7",U,Asia/Bangkok,99.6166,7.50874
"3183",Udon Thani Airport,Udon Thani,Thailand,UTH,VTUD,"579","7",U,Asia/Bangkok,102.788002,17.3864
"3184",Sakon Nakhon Airport,Sakon Nakhon,Thailand,SNO,VTUI,"529","7",U,Asia/Bangkok,104.119003,17.195101
"3185",Surin Airport,Surin,Thailand,PXR,VTUJ,"478","7",U,Asia/Bangkok,103.498001,14.8683
"3186",Loei Airport,Loei,Thailand,LOE,VTUL,"860","7",U,Asia/Bangkok,101.722,17.4391
"3187",Khorat Airport,Nakhon Ratchasima,Thailand,\N,VTUN,"729","7",U,Asia/Bangkok,102.079002,14.9345
"3188",Rob Muang Airport,Roi Et,Thailand,\N,VTUR,"459","7",U,Asia/Bangkok,103.646004,16.0704
"3196",Da Nang International Airport,Danang,Vietnam,DAD,VVDN,"33","7",U,Asia/Saigon,108.198997,16.0439
"3197",Gia Lam Air Base,Hanoi,Vietnam,\N,VVGL,"50","7",U,Asia/Saigon,105.886002,21.040501
"3198",Kep Air Base,Kep,Vietnam,\N,VVKP,"55","7",U,Asia/Saigon,106.261002,21.3946
"3199",Noi Bai International Airport,Hanoi,Vietnam,HAN,VVNB,"39","7",U,Asia/Saigon,105.806999,21.221201
"3200",Nha Trang Air Base,Nhatrang,Vietnam,NHA,VVNT,"20","7",U,Asia/Saigon,109.192001,12.2275
"3201",Phu Bai Airport,Hue,Vietnam,HUI,VVPB,"48","7",U,Asia/Saigon,107.703003,16.401501
"3204",Phu Quoc International Airport,Phuquoc,Vietnam,PQC,VVPQ,"37","7",U,Asia/Saigon,103.9931,10.1698
"3205",Tan Son Nhat International Airport,Ho Chi Minh City,Vietnam,SGN,VVTS,"33","7",U,Asia/Saigon,106.652,10.8188
"3207",Ann Airport,Ann,Burma,VBA,VYAN,"74","6.5",U,Asia/Rangoon,94.0261,19.769199
"3208",Anisakan Airport,Anisakan,Burma,\N,VYAS,"3000","6.5",U,Asia/Rangoon,96.406097,21.9554
"3209",Bagan Airport,Bagan,Burma,NYU,VYBG,"312","6.5",U,Asia/Rangoon,94.930199,21.178801
"3211",Coco Island Airport,Coco Island,Burma,\N,VYCI,"20","6",U,\N,93.3685,14.1415
"3213",Heho Airport,Heho,Burma,HEH,VYHH,"3858","6.5",U,Asia/Rangoon,96.792,20.747
"3214",Hommalinn Airport,Hommalin,Burma,HOX,VYHL,"534","6.5",U,Asia/Rangoon,94.914001,24.899599
"3215",Kengtung Airport,Kengtung,Burma,KET,VYKG,"2798","6.5",U,Asia/Rangoon,99.636002,21.3016
"3217",Kyaukpyu Airport,Kyaukpyu,Burma,KYP,VYKP,"20","6.5",U,Asia/Rangoon,93.534798,19.426399
"3220",Lashio Airport,Lashio,Burma,LSH,VYLS,"2450","6.5",U,Asia/Rangoon,97.752197,22.9779
"3221",Lanywa Airport,Lanywa,Burma,\N,VYLY,"175","6.5",U,Asia/Rangoon,94.822601,20.940399
"3222",Mandalay International Airport,Mandalay,Burma,MDL,VYMD,"300","6.5",U,Asia/Rangoon,95.977898,21.7022
"3223",Myeik Airport,Myeik,Burma,MGZ,VYME,"75","6.5",U,Asia/Rangoon,98.621498,12.4398
"3224",Myitkyina Airport,Myitkyina,Burma,MYT,VYMK,"475","6.5",U,Asia/Rangoon,97.351898,25.3836
"3226",Momeik Airport,Momeik,Burma,MOE,VYMO,"600","6.5",U,Asia/Rangoon,96.645302,23.092501
"3227",Mong Hsat Airport,Mong Hsat,Burma,MOG,VYMS,"1875","6.5",U,Asia/Rangoon,99.256798,20.5168
"3228",Nampong Air Base,Nampong,Burma,\N,VYNP,"459","6.5",U,Asia/Rangoon,97.295197,25.354401
"3229",Namsang Airport,Namsang,Burma,NMS,VYNS,"3100","6.5",U,Asia/Rangoon,97.735901,20.890499
"3230",Hpa-N Airport,Hpa-an,Burma,PAA,VYPA,"150","6.5",U,Asia/Rangoon,97.674599,16.8937
"3232",Putao Airport,Putao,Burma,PBU,VYPT,"1500","6.5",U,Asia/Rangoon,97.4263,27.329901
"3233",Pyay Airport,Pyay,Burma,PRU,VYPY,"120","6.5",U,Asia/Rangoon,95.265999,18.824499
"3234",Shante Air Base,Shante,Burma,\N,VYST,"630","6.5",U,Asia/Rangoon,95.914497,20.9417
"3235",Sittwe Airport,Sittwe,Burma,AKY,VYSW,"27","6.5",U,Asia/Rangoon,92.872597,20.1327
"3236",Thandwe Airport,Thandwe,Burma,SNW,VYTD,"20","6.5",U,Asia/Rangoon,94.300102,18.460699
"3237",Tachileik Airport,Tachilek,Burma,THL,VYTL,"1280","6.5",U,Asia/Rangoon,99.935402,20.483801
"3238",Taungoo Airport,Taungoo,Burma,\N,VYTO,"160","6.5",U,Asia/Rangoon,96.401199,19.0313
"3239",Yangon International Airport,Yangon,Burma,RGN,VYYY,"109","6.5",U,Asia/Rangoon,96.133202,16.907301
"3240",Hasanuddin International Airport,Ujung Pandang,Indonesia,UPG,WAAA,"47","8",N,Asia/Makassar,119.554001,-5.06163
"3241",Frans Kaisiepo Airport,Biak,Indonesia,BIK,WABB,"46","9",N,Asia/Jayapura,136.108002,-1.19002
"3242",Nabire Airport,Nabire,Indonesia,NBX,WABI,"20","9",N,Asia/Jayapura,135.496002,-3.36818
"3243",Moses Kilangin Airport,Timika,Indonesia,TIM,WABP,"103","9",N,Asia/Jayapura,136.886993,-4.52828
"3244",Sentani International Airport,Jayapura,Indonesia,DJJ,WAJJ,"289","9",N,Asia/Jayapura,140.516006,-2.57695
"3245",Wamena Airport,Wamena,Indonesia,WMX,WAJW,"5085","9",N,Asia/Jayapura,138.957001,-4.10251
"3246",Mopah Airport,Merauke,Indonesia,MKQ,WAKK,"10","9",N,Asia/Jayapura,140.417999,-8.52029
"3247",Jalaluddin Airport,Gorontalo,Indonesia,GTO,WAMG,"105","8",N,Asia/Makassar,122.849998,0.637119
"3249",Mutiara Airport,Palu,Indonesia,PLW,WAML,"284","8",N,Asia/Makassar,119.910004,-0.918542
"3250",Sam Ratulangi Airport,Manado,Indonesia,MDC,WAMM,"264","8",N,Asia/Makassar,124.926003,1.54926
"3251",Kasiguncu Airport,Poso,Indonesia,PSJ,WAMP,"174","8",N,Asia/Makassar,120.657997,-1.41675
"3252",Pitu Airport,Morotai Island,Indonesia,OTI,WAMR,"49","9",N,Asia/Jayapura,128.324997,2.04599
"3253",Sultan Khairun Babullah Airport,Ternate,Indonesia,TTE,WAMT,"49","9",N,Asia/Jayapura,127.380997,0.831414
"3254",Syukuran Aminuddin Amir Airport,Luwuk,Indonesia,LUW,WAMW,"56","8",N,Asia/Makassar,122.772003,-1.03892
"3256","Pattimura Airport, Ambon",Ambon,Indonesia,AMQ,WAPP,"33","9",N,Asia/Jayapura,128.089005,-3.71026
"3257",Fakfak Airport,Fak Fak,Indonesia,FKQ,WASF,"462","9",N,Asia/Jayapura,132.266998,-2.92019
"3258",Kaimana Airport,Kaimana,Indonesia,KNG,WASK,"19","9",N,Asia/Jayapura,133.695999,-3.64452
"3259",Babo Airport,Babo,Indonesia,BXB,WASO,"10","9",N,Asia/Jayapura,133.438995,-2.53224
"3260",Rendani Airport,Manokwari,Indonesia,MKW,WASR,"23","9",N,Asia/Jayapura,134.048996,-0.891833
"3261",Dominique Edward Osok Airport,Sorong,Indonesia,SOQ,WAXX,"10","9",N,Asia/Jayapura,131.287,-0.894
"3262",Bintulu Airport,Bintulu,Malaysia,BTU,WBGB,"74","8",N,Asia/Kuala_Lumpur,113.019997,3.12385
"3263",Kuching International Airport,Kuching,Malaysia,KCH,WBGG,"89","8",N,Asia/Kuala_Lumpur,110.347,1.4847
"3264",Limbang Airport,Limbang,Malaysia,LMN,WBGJ,"14","8",N,Asia/Kuala_Lumpur,115.010002,4.8083
"3265",Marudi Airport,Marudi,Malaysia,MUR,WBGM,"103","8",N,Asia/Kuala_Lumpur,114.329002,4.17898
"3266",Miri Airport,Miri,Malaysia,MYY,WBGR,"59","8",N,Asia/Kuala_Lumpur,113.987,4.32201
"3267",Sibu Airport,Sibu,Malaysia,SBW,WBGS,"122","8",N,Asia/Kuala_Lumpur,111.985001,2.2616
"3268",Lahad Datu Airport,Lahad Datu,Malaysia,LDU,WBKD,"45","8",N,Asia/Kuala_Lumpur,118.323997,5.03225
"3269",Kota Kinabalu International Airport,Kota Kinabalu,Malaysia,BKI,WBKK,"10","8",N,Asia/Kuala_Lumpur,116.051003,5.93721
"3270",Labuan Airport,Labuan,Malaysia,LBU,WBKL,"101","8",N,Asia/Kuala_Lumpur,115.25,5.30068
"3271",Tawau Airport,Tawau,Malaysia,TWU,WBKW,"57","8",N,Asia/Kuala_Lumpur,118.127998,4.32016
"3272",Brunei International Airport,Bandar Seri Begawan,Brunei,BWN,WBSB,"73","8",U,Asia/Brunei,114.928001,4.9442
"3273",Sultan Syarif Kasim Ii (Simpang Tiga) Airport,Pekanbaru,Indonesia,PKU,WIBB,"102","7",N,Asia/Jakarta,101.445,0.460786
"3274",Pinang Kampai Airport,Dumai,Indonesia,DUM,WIBD,"55","7",N,Asia/Jakarta,101.433998,1.60919
"3275",Soekarno-Hatta International Airport,Jakarta,Indonesia,CGK,WIII,"34","7",N,Asia/Jakarta,106.655998,-6.12557
"3276",Binaka Airport,Gunung Sitoli,Indonesia,GNS,WIMB,"20","7",N,Asia/Jakarta,97.704697,1.16638
"3277",Aek Godang Airport,Padang Sidempuan,Indonesia,AEG,WIME,"922","7",N,Asia/Jakarta,99.430496,1.4001
"3278",Minangkabau International Airport,Padang,Indonesia,PDG,WIPT,"18","7",N,Asia/Jakarta,100.280998,-0.786917
"3279",Soewondo Air Force Base,Medan,Indonesia,MES,WIMK,"114","7",N,Asia/Jakarta,98.671111,3.559167
"3280",Dr Ferdinand Lumban Tobing Airport,Sibolga,Indonesia,FLZ,WIMS,"33","7",N,Asia/Jakarta,98.888901,1.55594
"3281",Nanga Pinoh Airport,Nangapinoh,Indonesia,NPO,WIOG,"123","7",N,Asia/Jakarta,111.748001,-0.348869
"3282",Ketapang(Rahadi Usman) Airport,Ketapang,Indonesia,KTG,WIOK,"46","7",N,Asia/Jakarta,109.962997,-1.81664
"3284",Supadio Airport,Pontianak,Indonesia,PNK,WIOO,"10","7",N,Asia/Jakarta,109.403999,-0.150711
"3287",Sultan Thaha Airport,Jambi,Indonesia,DJB,WIPA,"82","7",N,Asia/Jakarta,103.643997,-1.63802
"3288",Fatmawati Soekarno Airport,Bengkulu,Indonesia,BKS,WIPL,"50","7",N,Asia/Jakarta,102.338997,-3.8637
"3289",Sultan Mahmud Badaruddin II Airport,Palembang,Indonesia,PLM,WIPP,"49","7",N,Asia/Jakarta,104.699997,-2.89825
"3291",Japura Airport,Rengat,Indonesia,RGT,WIPR,"62","7",N,Asia/Jakarta,102.334999,-0.352808
"3292",Lhok Sukon Airport,Lhok Sukon,Indonesia,LSX,WITL,"28","7",N,Asia/Jakarta,97.259201,5.06951
"3294",Sultan Iskandar Muda International Airport,Banda Aceh,Indonesia,BTJ,WITT,"65","7",N,Asia/Jakarta,95.420637,5.522872
"3295",Kluang Airport,Kluang,Malaysia,\N,WMAP,"150","8",N,Asia/Kuala_Lumpur,103.306999,2.04139
"3296",Sultan Abdul Halim Airport,Alor Setar,Malaysia,AOR,WMKA,"15","8",N,Asia/Kuala_Lumpur,100.398003,6.18967
"3297",Butterworth Airport,Butterworth,Malaysia,BWH,WMKB,"11","8",N,Asia/Kuala_Lumpur,100.390999,5.46592
"3298",Sultan Ismail Petra Airport,Kota Bahru,Malaysia,KBR,WMKC,"16","8",N,Asia/Kuala_Lumpur,102.292999,6.16685
"3299",Kuantan Airport,Kuantan,Malaysia,KUA,WMKD,"58","8",N,Asia/Kuala_Lumpur,103.209,3.77539
"3300",Kerteh Airport,Kerteh,Malaysia,KTE,WMKE,"18","8",N,Asia/Kuala_Lumpur,103.427002,4.53722
"3301",Simpang Airport,Simpang,Malaysia,\N,WMKF,"111","8",N,Asia/Kuala_Lumpur,101.703003,3.11225
"3302",Sultan Azlan Shah Airport,Ipoh,Malaysia,IPH,WMKI,"130","8",N,Asia/Kuala_Lumpur,101.092003,4.56797
"3303",Senai International Airport,Johor Bahru,Malaysia,JHB,WMKJ,"135","8",N,Asia/Kuala_Lumpur,103.669998,1.64131
"3304",Kuala Lumpur International Airport,Kuala Lumpur,Malaysia,KUL,WMKK,"69","8",N,Asia/Kuala_Lumpur,101.709999,2.74558
"3305",Langkawi International Airport,Langkawi,Malaysia,LGK,WMKL,"29","8",N,Asia/Kuala_Lumpur,99.728699,6.32973
"3306",Malacca Airport,Malacca,Malaysia,MKZ,WMKM,"35","8",N,Asia/Kuala_Lumpur,102.251999,2.26336
"3307",Sultan Mahmud Airport,Kuala Terengganu,Malaysia,TGG,WMKN,"21","8",N,Asia/Kuala_Lumpur,103.102997,5.38264
"3308",Penang International Airport,Penang,Malaysia,PEN,WMKP,"11","8",N,Asia/Kuala_Lumpur,100.277,5.29714
"3309",Suai Airport,Suai,East Timor,UAI,WPDB,"96","9",U,Asia/Dili,125.287003,-9.30331
"3310",Presidente Nicolau Lobato International Airport,Dili,East Timor,DIL,WPDL,"154","9",U,Asia/Dili,125.526001,-8.5464
"3311",Cakung Airport,Baucau,East Timor,BCH,WPEC,"1771","9",U,Asia/Dili,126.401001,-8.48903
"3312",Sembawang Air Base,Sembawang,Singapore,\N,WSAG,"86","8",N,Asia/Singapore,103.813004,1.42526
"3313",Paya Lebar Air Base,Paya Lebar,Singapore,QPG,WSAP,"65","8",N,Asia/Singapore,103.910004,1.36042
"3314",Tengah Air Base,Tengah,Singapore,TGA,WSAT,"50","8",N,Asia/Singapore,103.709,1.38726
"3315",Seletar Airport,Singapore,Singapore,XSP,WSSL,"36","8",N,Asia/Singapore,103.867996,1.41695
"3316",Singapore Changi Airport,Singapore,Singapore,SIN,WSSS,"22","8",N,Asia/Singapore,103.994003,1.35019
"3317",Brisbane Archerfield Airport,Brisbane,Australia,ACF,YBAF,"63","10",O,Australia/Brisbane,153.007996,-27.570299
"3318",Northern Peninsula Airport,Amberley,Australia,ABM,YBAM,"34","10",O,Australia/Brisbane,142.459,-10.9508
"3319",Alice Springs Airport,Alice Springs,Australia,ASP,YBAS,"1789","9.5",N,Australia/Darwin,133.901993,-23.8067
"3320",Brisbane International Airport,Brisbane,Australia,BNE,YBBN,"13","10",N,Australia/Brisbane,153.117004,-27.384199
"3321",Gold Coast Airport,Coolangatta,Australia,OOL,YBCG,"21","10",N,Australia/Brisbane,153.505005,-28.1644
"3322",Cairns International Airport,Cairns,Australia,CNS,YBCS,"10","10",N,Australia/Brisbane,145.755005,-16.885799
"3323",Charleville Airport,Charlieville,Australia,CTL,YBCV,"1003","10",O,Australia/Brisbane,146.261993,-26.4133
"3324",Mount Isa Airport,Mount Isa,Australia,ISA,YBMA,"1121","10",O,Australia/Brisbane,139.488998,-20.6639
