id,Matram,Kyhieu,longitude,latitude,Z.Elev,ds,WQI_I,WQI_II,WQI_III,WQI_IV,WQI_V,y,WQI_Desc,WQI_Color,WQI_Weight,WQI_no_V,pH,Aldrin,BHC,Dieldrin,DDTs,Heptachlor,Heptachlorepoxide,As,Cd,Pb,Cr6,Cu,Zn,Hg,DO,T,BOD5,COD,TOC,N_NH4,N_NO3,N_NO2,P_PO4,Coliform,Ecoli,Salinity,TSS,CL
"37",QLPH052016,QL5,105.59,9.56,0.32,2016/05/16,100,68.13,88.49,66.23,37,40,Xấu,"RGB(255,126,0)",33,30,7.47,0.018,0.039,0.037,0.045,0.027,0.011,0.016,0.006,0.002,0.009,0.004,0.058,0.001,5.318,"25",8.46,19.621,14.044,0.4,0.15,0.23,0,4300,"72",0.1,46.84,9.24
"38",QLPH052016,QL5,105.59,9.56,0.32,2016/06/02,100,100,85.64,63.86,55,55,Trung bình,"RGB(255,255,0)",52,51,6.73,0.025,0.02,0.017,0.021,0.03,0.015,0.019,0.005,0.001,0.019,0.004,0.009,0.001,6.258,"25",7.98,18.367,15.059,0.79,0.13,0.48,0,4300,"11",0.5,81.2,184.2
"39",QLPH052016,QL5,105.59,9.56,0.32,2016/06/15,100,100,88.96,71.66,55,64,Trung bình,"RGB(255,255,0)",58,56,7.12,0.02,0.018,0.016,0.018,0.029,0.012,0.017,0.005,0.003,0.012,0.002,0.014,0.001,5.718,"25",7.8,17.649,14.022,0.28,0.25,0.3,0,2400,"17",0.5,95.21,168.74
"40",QLPH062016,QL6,105.46,9.44,0.44,2016/02/29,100,68.13,88.29,62.39,48.75,38,Xấu,"RGB(255,126,0)",35,33,7.33,0.022,0.028,0.027,0.032,0.025,0.013,0.015,0.005,0.002,0.016,0.005,0.028,0.001,4.945,"25",7.12,16.804,12.597,0.863,0.18,0.41,0,5400,"35",2.4,52.12,11414
"41",QLPH062016,QL6,105.46,9.44,0.44,2016/03/15,100,68.13,78.27,69,54.58,37,Xấu,"RGB(255,126,0)",34,33,7.53,0.022,0.021,0.02,0.024,0.027,0.013,0.018,0.004,0.001,0.014,0.007,0.017,0.002,6.008,"25",6.63,17.702,14.474,0.32,0.13,0.34,0,6900,"21",27.6,61.52,16945.1
"42",QLPH062016,QL6,105.46,9.44,0.44,2016/04/02,100,68.13,75.37,70.41,37.75,36,Xấu,"RGB(255,126,0)",29,26,7.58,0.019,0.039,0.036,0.044,0.028,0.011,0.016,0.006,0.002,0.011,0.003,0.055,0.002,5.42,"25",8.6,19.733,14.233,0.129,0.18,0.28,0,2800,"69",16.6,94.54,12868.35
"43",QLPH062016,QL6,105.46,9.44,0.44,2016/04/15,100,100,74.3,72.49,52.92,54,Trung bình,"RGB(255,255,0)",48,46,7.53,0.019,0.019,0.016,0.02,0.032,0.011,0.02,0.006,0.001,0.008,0.002,0.02,0.002,6.758,"25",8.8,20.173,16.378,0.1,0.12,0.2,0,2100,"25",27.6,72.32,14534
"44",QLPH062016,QL6,105.46,9.44,0.44,2016/05/02,100,68.13,76.26,62.41,39,32,Xấu,"RGB(255,126,0)",28,26,7.82,0.02,0.036,0.035,0.042,0.029,0.012,0.018,0.005,0.001,0.006,0.01,0.051,0.002,6.043,"25",7.67,20.071,15.273,0.85,0.12,0.14,0,9500,"64",31.7,154.21,15241
"45",QLPH062016,QL6,105.46,9.44,0.44,2016/05/16,100,68.13,86.82,61.74,35.25,37,Xấu,"RGB(255,126,0)",30,28,7.31,0.021,0.045,0.042,0.047,0.037,0.013,0.016,0.007,0.01,0.008,0.002,0.063,0.001,5.203,"25",9,19.996,13.99,0.79,0.96,0.2,0,2100,"79",32,82.5,19875.2
"46",QLPH062016,QL6,105.46,9.44,0.44,2016/06/02,100,68.13,88.17,71.67,40.5,43,Xấu,"RGB(255,126,0)",36,32,6.86,0.019,0.033,0.031,0.038,0.029,0.011,0.019,0.005,0.001,0.012,0.001,0.046,0.001,6.215,"25",7.45,19.991,15.507,0.1,0.11,0.3,0,1100,"58",1.4,15.6,6125.4
"47",QLPH062016,QL6,105.46,9.44,0.44,2016/06/15,100,68.13,87.41,62.01,54.58,37,Xấu,"RGB(255,126,0)",35,35,7.01,0.024,0.023,0.021,0.024,0.031,0.014,0.018,0.006,0.004,0.011,0.009,0.017,0.001,5.863,"25",8.34,18.322,14.452,0.94,0.35,0.28,0,9200,"21",11.2,138.21,7524.1
"48",QLPH072016,QL7,105.36,9.34,0.25,2016/02/29,100,100,79.23,64.45,55,51,Trung bình,"RGB(255,255,0)",48,47,7.65,0.021,0.018,0.017,0.017,0.031,0.012,0.017,0.004,0.006,0.012,0.003,0.011,0.002,5.663,"25",6.35,16.71,13.644,0.763,0.56,0.29,0,3300,"14",26.6,5,13882
"49",QLPH072016,QL7,105.36,9.34,0.25,2016/03/15,100,68.13,78.93,72.44,45.42,39,Xấu,"RGB(255,126,0)",33,31,7.79,0.022,0.031,0.03,0.034,0.031,0.013,0.017,0.003,0.005,0.013,0.005,0.034,0.002,5.81,"25",5.9,17.933,14.251,0.18,0.54,0.32,0,5400,"43",28.3,85.62,19426.6
"50",QLPH072016,QL7,105.36,9.34,0.25,2016/04/02,100,68.13,73.83,70.77,35.25,36,Xấu,"RGB(255,126,0)",28,25,7.77,0.026,0.05,0.048,0.058,0.028,0.016,0.016,0.005,0.003,0.02,0.008,0.063,0.002,5.393,"25",7.62,19.614,14.154,0.115,0.313,0.5,0,8100,"79",33.5,152.4,142.75
"51",QLPH072016,QL7,105.36,9.34,0.25,2016/04/15,100,68.13,74.43,66.94,36,34,Xấu,"RGB(255,126,0)",28,25,7.76,0.026,0.046,0.045,0.051,0.038,0.015,0.02,0.005,0.008,0.014,0.005,0.061,0.002,6.553,"25",7.36,21.244,16.408,0.5,0.78,0.35,0,5200,"76",34.8,124.21,18788
"52",QLPH072016,QL7,105.36,9.34,0.25,2016/05/02,100,68.13,76.6,71.77,46.25,37,Xấu,"RGB(255,126,0)",32,30,7.88,0.021,0.028,0.027,0.028,0.036,0.012,0.017,0.005,0.009,0.009,0.001,0.033,0.002,5.795,"25",7.02,18.385,14.371,0.2,0.88,0.23,0,1100,"41",34,64.57,18792
"53",QLPH072016,QL7,105.36,9.34,0.25,2016/05/16,100,100,74.99,65.15,55,49,Xấu,"RGB(255,126,0)",46,45,7.7,0.02,0.014,0.012,0.009,0.037,0.012,0.018,0.006,0.008,0.006,0.002,0.006,0.002,5.975,"25",8,17.751,14.441,0.64,0.84,0.15,0,1700,"7",38.3,61.3,2144
"54",QLPH072016,QL7,105.36,9.34,0.25,2016/06/02,100,100,89.22,61.66,55,55,Trung bình,"RGB(255,255,0)",53,52,7.29,0.018,0.018,0.015,0.017,0.028,0.011,0.014,0.006,0.003,0.01,0.003,0.014,0.001,4.823,"25",8.98,16.785,12.407,0.86,0.28,0.25,0,2500,"17",27.7,83.7,16847.8
"55",QLPH072016,QL7,105.36,9.34,0.25,2016/06/15,100,68.13,73.7,64.6,52.5,32,Xấu,"RGB(255,126,0)",30,29,7.52,0.019,0.023,0.02,0.024,0.025,0.011,0.014,0.007,0.002,0.014,0.002,0.021,0.002,4.505,"25",9,16.654,11.89,0.55,0.16,0.36,0,2100,"26",27.1,115.6,165
"56",QLPH082016,QL8,105.3,9.28,0.31,2016/02/29,100,68.13,72.78,65.12,45.42,32,Xấu,"RGB(255,126,0)",29,27,7.96,0.023,0.029,0.027,0.033,0.033,0.014,0.021,0.006,0.002,0.015,0.001,0.034,0.002,6.865,"25",8.11,20.752,16.722,0.738,0.23,0.38,0,1300,"43",27.4,34.65,15647
"57",QLPH082016,QL8,105.3,9.28,0.31,2016/03/15,100,68.13,76.92,68.83,37.75,36,Xấu,"RGB(255,126,0)",30,27,7.83,0.023,0.04,0.039,0.046,0.032,0.014,0.02,0.004,0.004,0.016,0.001,0.055,0.002,6.683,"25",6.16,20.564,16.389,0.41,0.4,0.41,0,1100,"69",29.3,97.21,19355.7
"58",QLPH082016,QL8,105.3,9.28,0.31,2016/04/02,100,68.13,73.28,70.09,31.25,35,Xấu,"RGB(255,126,0)",27,23,7.61,0.025,0.055,0.053,0.063,0.032,0.015,0.017,0.006,0.005,0.017,0.006,0.076,0.002,5.503,"25",8.64,20.97,14.747,0.145,0.463,0.42,0,6400,"95",33.1,62.54,13931.85
"59",QLPH082016,QL8,105.3,9.28,0.31,2016/04/15,100,68.13,74.72,66.73,39,34,Xấu,"RGB(255,126,0)",28,26,7.65,0.022,0.038,0.036,0.041,0.035,0.013,0.018,0.006,0.007,0.011,0.002,0.051,0.002,5.963,"25",8.33,20.271,15.216,0.4,0.66,0.28,0,1700,"64",34.8,41.32,1547
"60",QLPH082016,QL8,105.3,9.28,0.31,2016/05/02,100,68.13,76.6,71.61,46.25,37,Xấu,"RGB(255,126,0)",32,30,7.87,0.022,0.029,0.028,0.03,0.034,0.013,0.017,0.005,0.007,0.008,0.006,0.033,0.002,5.793,"25",7.34,18.541,14.416,0.23,0.69,0.2,0,6400,"41",34,52.48,17582
"61",QLPH082016,QL8,105.3,9.28,0.31,2016/05/16,100,68.13,79.81,64.51,35.25,35,Xấu,"RGB(255,126,0)",29,26,7.71,0.02,0.043,0.042,0.048,0.033,0.012,0.017,0.004,0.007,0.01,0.001,0.063,0.002,5.753,"25",6.75,19.764,14.742,0.66,0.7,0.26,0,1400,"79",37.3,52.74,19754
"62",QLPH082016,QL8,105.3,9.28,0.31,2016/06/02,100,68.13,84.83,70.14,37.75,41,Xấu,"RGB(255,126,0)",33,30,7.31,0.022,0.042,0.04,0.046,0.032,0.013,0.016,0.007,0.005,0.016,0.002,0.055,0.001,5.278,"25",9.01,19.706,14.011,0.12,0.5,0.39,0,1800,"69",32.8,95.4,1965.1
"63",QLPH082016,QL8,105.3,9.28,0.31,2016/06/15,100,68.13,75.99,63.3,49.58,33,Xấu,"RGB(255,126,0)",30,29,7.55,0.02,0.026,0.024,0.027,0.029,0.012,0.014,0.006,0.005,0.011,0.004,0.026,0.002,4.625,"25",8.42,16.851,12.132,0.7,0.53,0.27,0,4300,"33",31.7,84.21,1942
"64",QLPH092016,QL9,105.16,9.18,0.36,2016/02/29,100,68.13,74.16,70.33,51.67,36,Xấu,"RGB(255,126,0)",32,30,7.51,0.026,0.031,0.028,0.032,0.028,0.015,0.013,0.006,0.005,0.018,0.009,0.022,0.002,4.203,"25",8.65,16.071,11.252,0.125,0.54,0.45,0,9200,"28",27.3,61.25,1542
"65",QLPH092016,QL9,105.16,9.18,0.36,2016/03/15,100,68.13,75.09,62.7,37,32,Xấu,"RGB(255,126,0)",27,25,7.59,0.02,0.041,0.039,0.046,0.031,0.012,0.016,0.006,0.005,0.012,0.002,0.058,0.002,5.31,"25",8.23,19.494,13.993,0.75,0.45,0.31,0,1800,"72",29,52.62,272.8
"66",QLPH092016,QL9,105.16,9.18,0.36,2016/04/02,100,68.13,74.19,71.68,55,36,Xấu,"RGB(255,126,0)",33,32,7.64,0.023,0.022,0.02,0.022,0.032,0.014,0.017,0.005,0.005,0.018,0.002,0.014,0.002,5.735,"25",7.74,17.689,14.061,0.221,0.463,0.46,0,1500,"18",32.8,65.24,1566.25
"67",QLPH092016,QL9,105.16,9.18,0.36,2016/04/15,100,100,72.2,71.11,55,51,Trung bình,"RGB(255,255,0)",47,45,7.64,0.024,0.02,0.017,0.018,0.035,0.014,0.017,0.007,0.006,0.016,0.002,0.009,0.002,5.81,"25",9.12,18.21,14.338,0.12,0.58,0.4,0,2200,"11",34.3,84.65,19915
"68",QLPH092016,QL9,105.16,9.18,0.36,2016/05/02,100,68.13,73.94,69.92,37,35,Xấu,"RGB(255,126,0)",28,26,7.81,0.025,0.046,0.043,0.05,0.034,0.015,0.016,0.007,0.006,0.011,0.01,0.058,0.002,5.403,"25",9.48,20.269,14.376,0.13,0.6,0.28,0,9500,"72",34.3,81.74,18654
"69",QLPH092016,QL9,105.16,9.18,0.36,2016/05/16,100,100,86.8,63.78,55,55,Trung bình,"RGB(255,255,0)",53,51,7.48,0.023,0.019,0.017,0.016,0.036,0.014,0.017,0.006,0.009,0.014,0.002,0.009,0.001,5.508,"25",8.28,17.298,13.597,0.73,0.85,0.34,0,1500,"11",35.4,62.15,19245.2
"70",QLPH092016,QL9,105.16,9.18,0.36,2016/06/02,100,68.13,85.86,59.83,34.75,35,Xấu,"RGB(255,126,0)",29,27,7.29,0.022,0.048,0.045,0.053,0.031,0.013,0.013,0.007,0.006,0.016,0.001,0.065,0.001,4.448,"25",9.7,19.202,12.607,0.93,0.6,0.41,0,1400,"81",28.4,67.5,16782.4
"71",QLPH092016,QL9,105.16,9.18,0.36,2016/06/15,100,68.13,73.87,63.97,51.67,32,Xấu,"RGB(255,126,0)",30,29,7.5,0.022,0.027,0.025,0.028,0.028,0.013,0.014,0.006,0.005,0.018,0.003,0.022,0.002,4.5,"25",8.34,16.399,11.802,0.64,0.5,0.45,0,2500,"28",25.6,92.21,1226
"72",QLPH102016,QL10,105.23,9.36,0.19,2016/02/29,100,68.13,76.7,62.4,42.92,33,Xấu,"RGB(255,126,0)",29,27,7.56,0.022,0.034,0.033,0.036,0.032,0.013,0.014,0.005,0.009,0.013,0.003,0.039,0.002,4.74,"25",7.06,17.024,12.359,0.838,0.89,0.32,0,3300,"49",26.9,52.54,15527
"73",QLPH102016,QL10,105.23,9.36,0.19,2016/03/15,100,68.13,80.48,68.1,37.75,37,Xấu,"RGB(255,126,0)",31,28,7.64,0.017,0.037,0.036,0.042,0.027,0.01,0.015,0.004,0.004,0.007,0.004,0.055,0.002,5.06,"25",6.64,18.168,13.2,0.3,0.39,0.17,0,4100,"69",29.4,67.85,19639.3
"74",QLPH102016,QL10,105.23,9.36,0.19,2016/04/02,100,68.13,75.37,70.45,36,36,Xấu,"RGB(255,126,0)",29,26,7.74,0.021,0.044,0.041,0.05,0.028,0.013,0.016,0.006,0.003,0.011,0.007,0.061,0.002,5.273,"25",8.2,19.584,13.965,0.181,0.25,0.28,0,6900,"76",33.4,75.24,13524.175
