fid,Name,descriptio,id,cable_id,color,length,rfs,owners,url,geometry
11,TERRA-Aleutian,"<div class=""googft-info-window"">
<b>id:</b> terra-aleutian<br>
<b>cable_id:</b> 1942<br>
<b>description:</b> [{""landing_point_id"":17106,""name"":""Akutan, AK, United States"",""latlon"":""54.135555,-165.773053""},{""landing_point_id"":17105,""name"":""False Pass, Ala",terra-aleutian,1942,#b6b8ba,"1,078 km",Q3 2020,GCI,http://www.alaskaunited.com,"MULTILINESTRING ((-165.937308 54.363086, -165.824808 54.297486, -165.773051 54.135545), (-163.57481 55.334581, -163.57481 55.206398, -163.46231 55.077801, -163.414996 54.850879), (-156.858897 59.114165, -157.049815 58.933171, -157.499814 58.641678, -157.837314 58.524394, -158.512313 58.051316, -158.737313 57.147146, -158.626962 56.949174, -158.962313 57.024886, -161.999811 56.220327, -163.34981 55.589707, -163.57481 55.334581, -164.02481 55.334581, -164.699809 55.142151, -165.599808 54.559259, -165.937308 54.363086, -166.274808 54.297486, -166.499808 54.034038, -166.533255 53.88442))"
12,Sakhalin-Kuril Islands Cable,"<div class=""googft-info-window"">
<b>id:</b> sakhalin-kuril-islands-cable<br>
<b>cable_id:</b> 1943<br>
<b>description:</b> [{""landing_point_id"":17110,""name"":""Krabozavodskoye, Russia"",""latlon"":""43.793617,146.747226""},{""landing_point_id"":17108,""name"":""Kuri",sakhalin-kuril-islands-cable,1943,#b6b8ba,940 km,Q2 2019,Rostelecom,,"MULTILINESTRING ((142.726243 46.948993, 143.437473 46.967589, 145.574971 46.272183, 147.59997 45.251927, 147.881512 45.08669, 147.59997 45.172673, 147.05998 45.037724, 146.756342 44.694829, 146.69997 44.374058, 146.249971 44.051519, 145.858565 44.034532, 146.249971 43.889588, 146.747236 43.79362))"
13,Meltingpot Indianoceanic Submarine System (METISS),"<div class=""googft-info-window"">
<b>id:</b> meltingpot-indianoceanic-submarine-system-metiss<br>
<b>cable_id:</b> 1892<br>
<b>description:</b> [{""landing_point_id"":17228,""name"":""Baie du Tombeau, Mauritius"",""latlon"":""-20.122124,57.495121""},{""landing_point",meltingpot-indianoceanic-submarine-system-metiss,1892,#b6b8ba,"3,500 km",2019,"Telma (Telecom Malagasy),  CEB Fibernet,  Emtel,  Canal+ Telecom,  SFR,  Zeop (incl. Reunicable)",,"MULTILINESTRING ((54.000036 -20.574419, 54.450036 -20.679707, 54.900035 -20.890063, 55.303233 -20.944431), (46.985344 -25.022507, 47.250041 -25.337712, 47.70004 -25.540896), (31.03516 -29.855757, 32.400051 -29.920697, 38.700047 -27.951747, 45.000042 -26.752713, 47.70004 -25.540896, 49.050039 -24.726118, 51.750038 -23.080584, 53.550036 -20.995132, 54.000036 -20.574419, 54.900035 -20.152544, 55.800035 -20.152544, 56.700034 -20.046896, 57.495126 -20.122127))"
14,Java Bali Cable System (JBCS),"<div class=""googft-info-window"">
<b>id:</b> java-bali-cable-system-jbcs<br>
<b>cable_id:</b> 1955<br>
<b>description:</b> [{""landing_point_id"":17173,""name"":""Candi Kusuma, Indonesia"",""latlon"":""-8.294567,114.527247""},{""landing_point_id"":17172,""name"":""Munca",java-bali-cable-system-jbcs,1955,#9c3895,40 km,2013,Triasmitra,,"MULTILINESTRING ((114.310394 -8.448027, 114.527288 -8.294578))"
15,Jakarta Surabaya Cable System (JAYABAYA),"<div class=""googft-info-window"">
<b>id:</b> jakarta-surabaya-cable-system-jayabaya<br>
<b>cable_id:</b> 1956<br>
<b>description:</b> [{""landing_point_id"":17175,""name"":""Banyu Urip, Indonesia"",""latlon"":""-7.271911,112.719679""},{""landing_point_id"":15733,""nam",jakarta-surabaya-cable-system-jayabaya,1956,#b6b8ba,888 km,Q4 2018,Triasmitra,http://www.triasmitra.com/,"MULTILINESTRING ((107.120994 -5.981159, 107.324998 -5.833801, 107.549998 -5.833801, 108.449997 -6.169451, 108.674997 -6.393099, 108.674997 -6.560772, 108.557346 -6.716653, 108.787497 -6.616651, 109.799996 -6.616651, 110.024996 -6.730874, 110.187887 -7.02652, 110.249996 -6.730874, 110.699996 -6.281287, 111.374995 -6.169451, 112.162495 -6.393099, 112.612494 -6.616651, 112.719721 -7.271863))"
16,Southern Cross NEXT,"<div class=""googft-info-window"">
<b>id:</b> southern-cross-next<br>
<b>cable_id:</b> 1894<br>
<b>description:</b> [{""landing_point_id"":6097,""name"":""Alexandria, Australia"",""latlon"":""-33.913671,151.196199""},{""landing_point_id"":5705,""name"":""Apia, Samoa"",""la",southern-cross-next,1894,#b6b8ba,"13,700 km",Q4 2019,"Spark New Zealand,  SingTel Optus,  Verizon",,"MULTILINESTRING ((179.349752 -16.808014, 179.099947 -17.168553, 179.099947 -17.705202, 179.324947 -18.88014, 179.549947 -19.305384), (178.438229 -18.12307, 178.649948 -18.88014, 179.099947 -19.729525), (-171.740087 -13.849274, -171.449804 -13.480287, -171.224804 -12.822996, -171.449804 -10.620065, -171.798942 -9.174622), (-157.427814 1.872148, -157.724814 2.81745, -158.849813 4.164913, -160.199812 5.061987), (-179.999798 -18.88014, -177.2998 -16.73811, -175.499801 -14.571726, -174.149802 -11.943945, -173.024803 -10.177457, -171.798942 -9.174622, -169.199806 -4.825692, -162.89981 2.367913, -160.199812 5.061987, -159.299813 5.957819, -138.599828 23.298598, -127.799835 28.557045, -120.59984 33.377806, -118.799842 33.93964, -118.24535 34.053597), (173.699951 -24.726118, 175.04995 -30.309953, 175.505712 -33.34802, 174.93745 -36.140033, 174.9937 -36.592978, 174.773241 -36.784133), (151.196256 -33.913573, 152.099966 -33.929537, 154.800062 -32.61276, 160.64996 -31.468437, 166.499956 -27.951747, 173.699951 -24.726118, 178.199948 -20.574419, 179.099947 -19.729525, 179.549947 -19.305384, 179.999947 -18.88014))"
17,Havfrue/AEC-2,"<div class=""googft-info-window"">
<b>id:</b> havfrueaec-2<br>
<b>cable_id:</b> 1931<br>
<b>description:</b> [{""landing_point_id"":5818,""name"":""Blaabjerg, Denmark"",""latlon"":""55.751680,8.329189""},{""landing_point_id"":3131,""name"":""Kristiansand, Norway"",""latlon",havfrueaec-2,1931,#b6b8ba,"7,200 km",Q4 2019,"Aqua Comms,  Facebook,  Bulk Infrastructure,  Google",,"MULTILINESTRING ((7.99626 58.151065, 7.875069 57.932057, 6.30007 57.57189, 4.500071 57.57189), (-16.199914 55.077801, -12.599917 54.819362, -10.799918 54.165972, -10.349918 53.901685, -9.696513 53.770801), (-74.062862 40.152831, -71.099875 40.55848, -68.399877 41.06934, -61.199882 42.079236, -50.39989 43.401145, -39.599898 46.272183, -23.399909 51.865572, -16.199914 55.077801, -8.999919 58.991177, -5.399922 59.679664, -1.799924 59.451717, 1.800073 58.524394, 4.452757 57.569206, 5.40007 56.717468, 6.30007 56.220327, 7.200069 55.843186, 7.650069 55.77997, 8.32917 55.751649))"
18,Dumai Medan Cable System (DMCS),"<div class=""googft-info-window"">
<b>id:</b> dumai-medan-cable-system-dmcs<br>
<b>cable_id:</b> 1957<br>
<b>description:</b> [{""landing_point_id"":7311,""name"":""Dumai, Indonesia"",""latlon"":""1.665609,101.447639""},{""landing_point_id"":5861,""name"":""Medan, Indone",dumai-medan-cable-system-dmcs,1957,#b6b8ba,575 km,Q1 2019,Triasmitra,http://www.triasmitra.com/,"MULTILINESTRING ((98.675981 3.752034, 99.000004 3.828234, 100.012503 3.266815, 100.350003 2.81745, 100.313333 2.452335, 100.462503 2.705081, 100.575003 2.705081, 101.250003 2.425992, 101.758254 2.143087, 101.870754 1.976447, 101.728127 1.805593, 101.447659 1.665521))"
19,Japan-Guam-Australia South (JGA-S),"<div class=""googft-info-window"">
<b>id:</b> japan-guam-australia-south-jga-s<br>
<b>cable_id:</b> 1959<br>
<b>description:</b> [{""landing_point_id"":5973,""name"":""Piti, Guam"",""latlon"":""13.464664,144.694737""},{""landing_point_id"":3030,""name"":""Sydney, Austral",japan-guam-australia-south-jga-s,1959,#b6b8ba,n.a.,Q4 2019,"RTI Connectivity,  Google,  Australia’s Academic and Research Network (AARNET)",,"MULTILINESTRING ((144.694698 13.464778, 144.815645 13.273238, 145.349971 12.834869, 146.249971 12.175887, 147.14997 11.955858, 149.399968 10.85309, 151.199967 9.524411, 152.999966 8.190543, 155.249964 4.164913, 156.599963 -0.331409, 157.724963 -3.029996, 159.299961 -4.825692, 161.54996 -6.616651, 162.449959 -8.401139, 162.899959 -10.177457, 161.999959 -13.698987, 159.299961 -18.88014, 157.949962 -25.540896, 156.599963 -28.74381, 154.540175 -31.851466, 151.207072 -33.869697))"
20,Japan-Guam-Australia North (JGA-N),"<div class=""googft-info-window"">
<b>id:</b> japan-guam-australia-north-jga-n<br>
<b>cable_id:</b> 1919<br>
<b>description:</b> [{""landing_point_id"":16280,""name"":""Minamiboso, Japan"",""latlon"":""35.042998,139.840125""},{""landing_point_id"":5973,""name"":""Piti, G",japan-guam-australia-north-jga-n,1919,#b6b8ba,n.a.,Q4 2019,RTI Connectivity,http://www.rticable.com,"MULTILINESTRING ((144.694698 13.489137, 144.349972 14.042733, 143.774972 15.235782, 143.099973 16.965103, 140.849974 21.635297, 139.274976 24.941363, 139.049976 27.763589, 139.274976 30.901396, 139.612475 32.433313, 139.612475 33.93964, 139.668725 34.405023, 139.840185 35.042976))"
21,Tonga Domestic Cable Extension (TCDE),"<div class=""googft-info-window"">
<b>id:</b> tonga-domestic-cable-extension-tcde<br>
<b>cable_id:</b> 1951<br>
<b>description:</b> [{""landing_point_id"":17154,""name"":""Neiafu, Tonga"",""latlon"":""-18.647687,-173.983685""},{""landing_point_id"":17154,""name"":""Nukua",tonga-domestic-cable-extension-tcde,1951,#e21f26,410 km,January 2018,Tonga Cable Limited,,"MULTILINESTRING ((-174.937302 -19.729525, -174.599802 -19.729525, -174.352142 -19.813797), (-173.983685 -18.659212, -174.262302 -18.88014, -174.937302 -19.729525, -175.162302 -20.574419, -175.200002 -21.133468))"
22,Junior,"<div class=""googft-info-window"">
<b>id:</b> junior<br>
<b>cable_id:</b> 1876<br>
<b>description:</b> [{""landing_point_id"":3242,""name"":""Rio de Janeiro, Brazil"",""latlon"":""-22.903397,-43.209568""},{""landing_point_id"":3411,""name"":""Santos, Brazil"",""latlon"":""-2",junior,1876,#b6b8ba,390 km,2018,Google,,"MULTILINESTRING ((-46.328067 -23.961845, -44.999894 -24.111503, -43.649895 -23.493922, -43.209563 -22.903484))"
23,Paniolo Cable Network,"<div class=""googft-info-window"">
<b>id:</b> paniolo-cable-network<br>
<b>cable_id:</b> 1948<br>
<b>description:</b> [{""landing_point_id"":17139,""name"":""Hawaii Kai,  Hawaii, United States"",""latlon"":""21.271997,-157.668900""},{""landing_point_id"":16121,""name"":",paniolo-cable-network,1948,#ec2e25,576 km,2009,n.a.,,"MULTILINESTRING ((-156.44 20.663598, -156.262315 20.480466, -155.981065 20.269544, -155.831406 20.039987), (-157.668906 21.272011, -157.499814 21.111486, -157.162314 21.0065, -157.023885 21.093356, -156.824815 21.0065, -156.684483 20.900892), (-159.724213 21.970291, -159.637313 21.844294, -158.849813 21.321235, -158.399814 21.321235, -158.220663 21.463447))"
24,Bodo-Rost Cable,"<div class=""googft-info-window"">
<b>id:</b> bodo-rost-cable<br>
<b>cable_id:</b> 1950<br>
<b>description:</b> [{""landing_point_id"":10225,""name"":""Bodø, Norway"",""latlon"":""67.286000,14.400073""},{""landing_point_id"":17145,""name"":""Røst, Norway"",""latlon"":""67.",bodo-rost-cable,1950,#3a5fac,109 km,2016,Telenor,,"MULTILINESTRING ((12.070171 67.50256, 12.150066 67.439493, 13.950064 67.266219, 14.400064 67.285998))"
25,Malta-Gozo Cable,"<div class=""googft-info-window"">
<b>id:</b> malta-gozo-cable<br>
<b>cable_id:</b> 1947<br>
<b>description:</b> [{""landing_point_id"":17134,""name"":""Golden Bay, Malta"",""latlon"":""35.938701,14.344458""},{""landing_point_id"":17133,""name"":""Mgarr Ix-Xini, Malta"",""",malta-gozo-cable,1947,#b02825,13 km,2019,Government of Malta,https://www.maltaenterprise.com,"MULTILINESTRING ((14.271365 36.020487, 14.344461 35.938666))"
26,Mauritius and Rodrigues Submarine Cable System (MARS),"<div class=""googft-info-window"">
<b>id:</b> mauritius-and-rodrigues-submarine-cable-system-mars<br>
<b>cable_id:</b> 1935<br>
<b>description:</b> [{""landing_point_id"":5906,""name"":""Baie Jacotet, Mauritius"",""latlon"":""-20.474004,57.485379""},{""landing_point_",mauritius-and-rodrigues-submarine-cable-system-mars,1935,#b6b8ba,677 km,2019,Mauritius Telecom,,"MULTILINESTRING ((57.485483 -20.473999, 57.712533 -20.679707, 58.050033 -20.679707, 59.400032 -20.574419, 61.650031 -20.363626, 62.77503 -20.254903, 63.337529 -19.835386, 63.448223 -19.67435))"
27,Palapa Ring East,"<div class=""googft-info-window"">
<b>id:</b> palapa-ring-east<br>
<b>cable_id:</b> 1938<br>
<b>description:</b> [{""landing_point_id"":16672,""name"":""Agats, Indonesia"",""latlon"":""-5.535632,138.121352""},{""landing_point_id"":17096,""name"":""Baa, Indonesia"",""latlon",palapa-ring-east,1938,#b6b8ba,"6,300 km",2019,"Indonesian Government,  Moratelindo,  Telekom PT SmartFren",,"MULTILINESTRING ((134.324979 -1.681169, 133.874979 -2.018492, 133.482084 -2.2024), (135.501638 -3.372234, 135.562478 -3.029996, 135.899978 -2.580537, 136.124978 -2.130918, 136.157009 -1.756135, 136.349978 -2.018492, 136.799977 -2.018492, 136.968825 -1.906058, 137.025026 -1.681169, 136.799977 -1.456254, 136.349978 -1.456254, 135.899978 -1.343787, 135.674978 -1.175078, 135.618728 -1.006505, 135.638552 -0.729536, 135.449978 -0.837631, 134.999979 -0.837631, 134.324979 -0.781387, 134.061991 -0.861456, 134.212479 -1.006359, 134.324979 -1.231316, 134.324979 -1.681169, 134.662479 -2.130918, 135.112479 -3.029996, 135.501638 -3.372234), (139.39646 -7.102405, 139.049976 -7.175079, 138.599976 -7.063446, 138.262476 -6.616651, 138.149976 -5.945707, 138.121363 -5.535666, 137.812477 -5.497951, 137.249977 -5.273944, 137.024977 -5.049857, 136.889626 -4.55025, 136.743727 -4.377144, 135.787478 -3.591554, 135.501638 -3.372234), (124.453502 -8.160825, 124.649986 -8.067119, 125.324985 -8.067119, 125.573716 -8.282873, 125.999985 -8.17849, 126.449985 -8.122809, 126.899984 -7.955717, 127.349984 -7.955717, 127.691488 -8.158094, 127.912484 -8.011422, 128.924983 -8.011422, 129.599982 -8.17849, 130.049982 -8.17849, 130.837482 -8.067119, 131.213067 -8.052229, 130.837482 -7.844285, 130.724982 -7.621331, 130.837482 -7.175079, 131.624981 -6.281287, 132.299981 -5.77784, 132.752129 -5.626541, 132.69373 -5.385958, 132.864531 -5.128744, 133.202128 -5.128744, 134.099979 -5.945707, 134.268729 -6.05759, 134.550174 -6.194693, 134.774979 -6.169451, 135.224978 -5.833801, 136.012478 -5.609922, 136.462478 -5.385958, 136.687477 -5.049857, 136.889626 -4.55025), (120.253016 -9.64577, 120.599989 -9.623337, 121.612488 -10.288168, 121.879871 -10.45781, 122.062488 -10.39884, 122.849987 -10.620065, 123.035241 -10.733304, 123.074987 -10.509472, 123.299987 -10.177505, 123.583385 -10.182936))"
28,Palapa Ring West,"<div class=""googft-info-window"">
<b>id:</b> palapa-ring-west<br>
<b>cable_id:</b> 1939<br>
<b>description:</b> [{""landing_point_id"":5862,""name"":""Batam, Indonesia"",""latlon"":""1.134726,103.962506""},{""landing_point_id"":16645,""name"":""Lingga, Indonesia"",""latlo",palapa-ring-west,1939,#b6b8ba,"1,980 km",February 2018,Indonesian Government,,"MULTILINESTRING ((108.987204 0.90605, 108.787497 1.24349, 107.999998 3.266815, 107.999998 3.603708, 108.142869 3.945639, 107.999998 3.840706, 107.324998 3.491423, 106.874999 3.266815, 106.211132 3.207145, 105.974999 2.592701, 105.749999 2.143087, 104.765381 1.468427, 104.287891 1.173523, 103.962598 1.134725, 104.062501 0.740369, 104.175 0.341584, 104.4 0.006089, 104.635449 -0.162759))"
29,Palapa Ring Middle,"<div class=""googft-info-window"">
<b>id:</b> palapa-ring-middle<br>
<b>cable_id:</b> 1940<br>
<b>description:</b> [{""landing_point_id"":17083,""name"":""Bangga, Indonesia"",""latlon"":""-1.600283,123.527535""},{""landing_point_id"":17089,""name"":""Baubau, Indonesia"",""",palapa-ring-middle,1940,#b6b8ba,"2,100 km",2018,Indonesian Government,,"MULTILINESTRING ((122.559948 -5.389069, 122.596862 -5.507088), (122.512976 -3.998472, 122.793786 -3.984541, 122.906237 -4.040604, 122.962487 -4.096712, 123.123913 -4.136112, 122.962487 -4.377144, 122.849987 -4.489308, 122.793737 -4.65752, 122.721081 -4.832407, 122.856115 -4.792241), (122.792761 -0.938791, 123.074987 -1.11884, 123.299987 -1.146959, 123.340221 -1.301025, 123.412487 -1.203173, 123.637487 -1.231316, 123.693737 -1.400021, 123.527526 -1.600245, 123.693785 -1.624991, 124.031285 -1.849887, 124.312486 -2.130918, 124.537486 -2.130918, 124.649986 -2.018492, 124.774009 -1.826804, 124.987486 -2.018492, 125.662485 -2.355746, 125.887485 -2.580537, 126.112485 -2.580537, 126.168735 -2.468146, 126.112485 -2.299542, 125.936997 -2.201473), (127.361312 0.795809, 127.404086 0.674041, 127.56141 0.734974), (124.839634 1.490783, 124.762486 1.805788, 125.212486 2.592701, 125.372935 2.754634, 125.212486 2.81745, 125.212486 3.266815, 125.485532 3.60093, 125.324985 3.715978, 125.437485 3.940476, 126.449985 4.052702, 126.71727 4.042961, 126.899984 3.940476, 127.124984 3.715978, 127.349984 3.266815, 127.912484 2.367913, 128.137483 2.255504, 128.400765 2.365668, 128.193733 2.143087, 128.137483 1.918229, 127.967855 1.71462))"
30,Ulysses 2,"<div class=""googft-info-window"">
<b>id:</b> ulysses-2<br>
<b>cable_id:</b> 1936<br>
<b>description:</b> [{""landing_point_id"":10414,""name"":""Ijmuiden, Netherlands"",""latlon"":""52.458517,4.613676""},{""landing_point_id"":3084,""name"":""Lowestoft, United Kingdom"",""",ulysses-2,1936,#ba6629,n.a.,1997,Verizon,,"MULTILINESTRING ((1.729272 52.468826, 2.250073 52.554915, 3.825072 52.554915, 4.275071 52.520701, 4.61367 52.458503))"
40,JUPITER,"<div class=""googft-info-window"">
<b>id:</b> jupiter<br>
<b>cable_id:</b> 1928<br>
<b>description:</b> [{""landing_point_id"":10355,""name"":""Daet, Philippines"",""latlon"":""14.116617,122.949899""},{""landing_point_id"":4966,""name"":""Hermosa Beach, California, Unite",jupiter,1928,#b6b8ba,"14,000 km",2020,"Amazon,  Facebook,  NTT,  PLDT,  PCCW,  Softbank Telecom",,"MULTILINESTRING ((141.974974 34.405023, 141.074974 32.052708, 140.399975 30.901396, 139.049976 28.161052, 137.249977 26.159308, 133.19998 22.884654, 127.799984 17.823934, 124.649986 15.235782, 123.524987 14.256645, 122.950085 14.116522), (140.849974 34.405023, 138.599976 33.75277, 137.699977 33.846256, 136.874001 34.336831), (179.999947 43.401145, 172.799952 43.401145, 160.199961 40.043692, 149.399968 35.785662, 143.099973 34.590456, 141.974974 34.405023, 140.849974 34.405023, 139.893725 34.775476, 139.816967 35.037519), (-118.399451 33.862233, -120.59984 33.75277, -122.399839 33.93964, -129.487246 37.589787, -138.487239 41.407726, -151.08723 43.401145, -179.88721 43.401145))"
